Time,Sequence Number,Event
0,0,send
0,0,send
0,0,send
0,0,send
0,0,send
0,0,send
0,0,send
0,0,send
0,0,send
0,0,send
0,0,transmit
0.008,0,transmit
0.016,0,transmit
0.024,0,transmit
0.032,0,transmit
0.04,0,transmit
0.048,0,transmit
0.056,0,transmit
0.064,0,transmit
0.072,0,transmit
